上市公司代码,上市公司简称,门类代码,门类简称,次类代码,次类简称,大类代码,大类简称
603628,清源股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603629,利通电子,C,制造业,CF,金属、非金属,33,金属制品业
603630,拉芳家化,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603633,徕木股份,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603636,南威软件,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
603637,镇海股份,E,建筑业,,,48,土木工程建筑业
603638,艾迪精密,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603639,海利尔,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603648,畅联股份,L,租赁和商务服务业,,,72,商务服务业
603650,彤程新材,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603655,朗博科技,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
603656,泰禾智能,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603657,春光科技,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
603658,安图生物,C,制造业,CE,石油、化学、生物医药,27,医药制造业
603659,璞泰来,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603660,苏州科达,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603661,恒林股份,C,制造业,CC,木材、家具,21,家具制造业
603662,柯力传感,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603663,三祥新材,C,制造业,CF,金属、非金属,30,非金属矿物制品业
603665,康隆达,C,制造业,CB,纺织、服装、鞋帽,17,纺织业
603666,亿嘉和,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603667,五洲新春,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603668,天马科技,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
603669,灵康药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
603676,卫信康,C,制造业,CE,石油、化学、生物医药,27,医药制造业
603677,奇精机械,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603678,火炬电子,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603679,华体科技,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603680,今创集团,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
603681,永冠新材,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603682,锦和商管,L,租赁和商务服务业,,,72,商务服务业
603683,晶华新材,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603685,晨丰科技,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603686,福龙马,N,水利、环境和公共设施管理业,,,78,公共设施管理业
603687,大胜达,C,制造业,CD,造纸、印刷、文教,22,造纸和纸制品业
603688,石英股份,C,制造业,CF,金属、非金属,30,非金属矿物制品业
603689,皖天然气,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
603690,至纯科技,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603693,江苏新能,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
603696,安记食品,C,制造业,CA,食品、饮料、烟草,14,食品制造业
