上市公司代码,上市公司简称,门类代码,门类简称,次类代码,次类简称,大类代码,大类简称
603200,上海洗霸,N,水利、环境和公共设施管理业,,,77,生态保护和环境治理业
603201,常润股份,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603202,天有为,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603203,快克智能,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603205,健尔康,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603206,嘉环科技,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
603207,小方制药,C,制造业,CE,石油、化学、生物医药,27,医药制造业
603208,江山欧派,C,制造业,CC,木材、家具,20,木材加工和木、竹、藤、棕、草制品业
603209,兴通股份,G,交通运输、仓储和邮政业,,,55,水上运输业
603210,泰鸿万立,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603211,晋拓股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603212,赛伍技术,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
603213,镇洋发展,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603214,爱婴室,F,批发和零售业,,,52,零售业
